Language, Individual, Joint, Multitask, Decoder, Encoder, Encoder+Decoder
Bengali, 19.1, 16.8, 16.5, 16.9, 16.5, 16.5
Gujarati, 26.0, 18.0, 18.2, 17.7, 17.2, 17.3
Hindi, 16.5, 14.4, 14.4, 14.6, 14.5, 14.4
Kannada, 35.4, 34.5, 34.6, 30.1, 29.4, 29.2
Malayalam, 44.0, 36.9, 36.7, 35.5, 34.8, 34.3
Marathi, 28.8, 27.6, 27.2, 24.0, 22.8, 23.1
Tamil, 13.3, 10.7, 10.6, 10.4, 10.3, 10.4
Telugu, 37.4, 22.5, 22.7, 22.5, 21.9, 21.5
Urdu, 29.5, 26.8, 26.7, 25.7, 24.2, 24.5
Wt Avg, 29.05, 22.93, 22.91, 22.03, 21.37, 21.32
